template_name,model_name,site_type,slot_1,slot_2,slot_3,logical_interface,loopback_interface
JUNIPER SRX345 SINGLE CPE,SRX345 NODE 0,SINGLE,0,,,RETH0.,LO
JUNIPER SRX345 DUAL CPE,SRX345 NODE 1,DUAL,5,,,RETH20.,
